question,type,options,t5_answer_verbose
When was your last tetanus shot? Provide a date.,DATE,Date,"I had my last tetanus shot in March of 2015, and I haven't had a tetanus shot since."
When will the product be ready for pickup? Provide a date.,DATE,Date,The product will be ready to be picked up by the end of the month.
How many attendees are expected at the conference?,NUMBER,attendee count,"There will be a total of 2,000 people at the conference."
How many books did you read last year?,NUMBER,books read,I read about ten books last year.
How many chapters are in this document?,NUMBER,chapter count,The number of chapters in this document is very small.
How many children are in your household?,NUMBER,number of children,I have two children.
How many credit cards do you have?,NUMBER,credit card count,I have one.
How many cups of coffee do you drink daily?,NUMBER,coffee consumption,I drink a few cups of coffee a day.
How many customer complaints were received this quarter?,NUMBER,customer complaints,0 complaints.
How many days a week do you exercise?,NUMBER,exercise frequency,I exercise on three days a week.
How many days are left until the deadline?,NUMBER,days until deadline,30 days.
How many days of vacation did you take last year?,NUMBER,vacation days,I took a total of 12 days of vacation last year.
How many different product lines does the company manufacture?,NUMBER,product line count,The company manufactures a variety of products.
How many employees are in the department?,NUMBER,employee count,There are a lot of people in the department.
How many employees work here?,NUMBER,employee count,We have a lot of employees.
How many hours did you work this week?,NUMBER,work hours,I worked a total of 7 hours this week.
How many hours of TV do you watch weekly?,NUMBER,TV watching time,I watch about 20 hours of TV a week.
How many hours of sleep do you get per night?,NUMBER,sleep duration,I get about 20 hours of sleep per night.
How many hours of training were provided to employees last year?,NUMBER,training hours,"Over 2,000 hours of training were provided to employees last year."
How many hours per week do you work?,NUMBER,work hours,I work 8 hours a week.
How many items are in the cart?,NUMBER,item count,The cart has a lot of items.
How many kilograms does this weigh?,NUMBER,weight,I'm not sure.
How many kilometers did you drive?,NUMBER,distance,I drove a lot of kilometers.
How many languages do you speak?,NUMBER,languages spoken,I speak three languages.
How many marketing campaigns were run last year?,NUMBER,marketing campaigns,0 campaigns were run last year.
How many meetings did you attend this week?,NUMBER,meeting count,I attended two meetings this week.
How many new projects were initiated this year?,NUMBER,project count,The number of new projects in this year was a lot higher than the number of projects in the previous year.
How many pages are in this book?,NUMBER,page count,58.
How many pairs of shoes do you own?,NUMBER,number of shoes,I own ten pairs of shoes.
How many people are in your household?,NUMBER,household size,I have a lot of people in my household.
How many pets do you own?,NUMBER,number of pets,I have two dogs.
How many points did the team score?,NUMBER,score,10 points.
How many products have you purchased from us?,NUMBER,purchase count,I have purchased more than 100 products from us.
How many products were sold last month?,NUMBER,product sales,I think there were a lot of products sold last month.
How many project milestones were achieved last quarter?,NUMBER,milestone count,Two milestones were achieved last quarter.
How many proposals were submitted this month?,NUMBER,proposals submitted,There were a total of 5 proposals submitted this month.
How many rooms are in your home?,NUMBER,number of rooms,I have a lot of rooms.
How many safety incidents occurred this year?,NUMBER,safety incidents,There were a total of 0 incidents this year.
How many safety training sessions were conducted last quarter?,NUMBER,training sessions,Several safety training sessions were conducted last quarter.
How many shares of stock do you own?,NUMBER,stock shares,I own a lot of stock.
How many siblings do you have?,NUMBER,sibling count,I have two.
How many skilled laborers are employed in the plant?,NUMBER,labor count,We have a large number of skilled laborers.
How many social media accounts do you have?,NUMBER,social media accounts,I have a lot of social media accounts.
How many social media followers do we have?,NUMBER,social media followers,We have a lot of followers on social media.
How many suppliers does the company currently have?,NUMBER,supplier count,The company currently has a number of suppliers.
How many times have you contacted customer support this year?,NUMBER,support contact frequency,I've contacted customer support a few times this year.
How many times have you traveled internationally?,NUMBER,international travels,I've traveled a lot.
How many times have you visited our website this month?,NUMBER,website visits,I've visited our website 3 times this month.
How many tons of coal are consumed per day?,NUMBER,fuel consumption,The amount of coal consumed per day depends on how much coal is burned.
How many tons of steel were produced last quarter?,NUMBER,production output,1.3 million tons of steel were produced last quarter.
How many tons of waste were generated last month?,NUMBER,waste generation,"About 20,000 tons of waste were generated last month."
How many vacation days did you take last year?,NUMBER,vacation days,I took 4 days of vacation last year.
How many vehicles do you own?,NUMBER,vehicle count,I own a lot of cars.
How many votes did the candidate receive?,NUMBER,vote count,0 votes.
How many years have you been a customer?,NUMBER,customer tenure,I've been a customer for ten years.
How many years of education do you have?,NUMBER,years of education,I have ten years of education.
How many years of experience do you have?,NUMBER,experience years,I have ten years of experience.
How much did you spend on our products last month?,NUMBER,monthly spending,I spent about $1000 on our products last month.
"On a scale of 1 to 10, how satisfied are you with our service?",NUMBER,satisfaction rating,I'm satisfied with the service.
"On a scale of 1-5, how likely are you to recommend us?",NUMBER,recommendation likelihood,I'm not sure.
What is the account balance?,NUMBER,balance,"The account balance is a balance of a company's assets, not a company's liabilities."
What is the age of the participant?,NUMBER,age,The age of the participant is 35.
What is the altitude in meters?,NUMBER,altitude,The altitude is.585 meters above sea level.
What is the amount of the loan?,NUMBER,loan amount,"$500,000."
What is the annual budget for employee training and development?,NUMBER,training budget,"The annual budget for employee training and development is $600,000 per year."
What is the annual revenue target?,NUMBER,revenue,The annual revenue target is $1.5 billion.
What is the average age of the machinery in years?,NUMBER,machinery age,The machinery has been in operation for a long time.
What is the average cost per unit produced?,NUMBER,production cost,The average cost per unit produced is $3.75.
What is the average customer lifetime value?,NUMBER,customer lifetime value,"The average customer lifetime value is $1,500 per year."
What is the average daily energy consumption in kWh?,NUMBER,energy consumption,The average daily energy consumption in kWh in the United States is 7.5 kWh per day.
What is the average deal size in dollars?,NUMBER,deal size,$600.
What is the average employee satisfaction rating (out of 5)?,NUMBER,employee satisfaction,Average satisfaction rating.
What is the average employee tenure in years?,NUMBER,employee tenure,Average tenure is 12 years.
What is the average lead time for order fulfillment in days?,NUMBER,lead time,The average lead time for order fulfillment in days is 3 days.
What is the average length of a production run in hours?,NUMBER,production run length,The average length of a production run in hours is 1 hour.
What is the average machine downtime in hours per week?,NUMBER,machine downtime,The average machine downtime per week is 3 hours per week.
What is the average order value?,NUMBER,average order value,The average order value for a single item is $1.25.
What is the average production yield percentage?,NUMBER,production yield,5%.
What is the average response time to customer inquiries?,NUMBER,response time,Average response time is 5 minutes.
What is the capacitance in farads?,NUMBER,capacitance,The capacitance of a farad is a constant.
What is the client account number?,NUMBER,account number,The client account number is 128.
What is the closing rate for sales leads (as a percentage)?,NUMBER,closing rate,The closing rate for sales leads (as a percentage) is 80%.
What is the code number?,NUMBER,code,I don't know.
What is the company's overall safety rating score?,NUMBER,safety rating,It has a score of 0 out of 100.
What is the company's tax ID number?,NUMBER,tax ID,401.
What is the conversion rate percentage?,NUMBER,conversion rate,The conversion rate is a percentage of the total conversion rate.
What is the current in amperes?,NUMBER,current,The current in amperes is constant.
What is the current interest rate?,NUMBER,interest rate,The current interest rate is 0.25%.
What is the current inventory level of raw materials?,NUMBER,inventory level,"The current inventory level of raw materials is 30,000."
What is the current market share percentage?,NUMBER,market share,The current market share percentage is 80%.
What is the current order backlog in units?,NUMBER,order backlog,The backlog in units is high.
What is the current stock price?,NUMBER,stock price,The current stock price is $2.65.
What is the customer churn rate (as a percentage)?,NUMBER,customer churn,The customer churn rate is a percentage.
What is the customer satisfaction rating (on a scale of 1-10)?,NUMBER,satisfaction rating,1/10.
What is the discount percentage?,NUMBER,percentage,It's a percentage of the price of a product.
"What is the due date (numerical representation, e.g., MMDDYYYY)?",NUMBER,date,YYYYY.
What is the employee turnover rate (as a percentage)?,NUMBER,employee turnover,The turnover rate is a percentage of the employee turnover rate.
What is the energy in joules?,NUMBER,energy,joules.
What is the frequency in Hertz?,NUMBER,frequency,The frequency in Hertz is the frequency in kHz.
What is the height of the building?,NUMBER,height,The height of the building is about 5 feet.
What is the inductance in henries?,NUMBER,inductance,He was inducted into the Hall of Fame.
What is the interest rate on the loan?,NUMBER,interest rate,The interest rate is 2%.
What is the invoice number?,NUMBER,invoice number,5000.
What is the latitude coordinate?,NUMBER,latitude,"The latitude coordinate is -90°, and the compass coordinate is -90°."
What is the longitude coordinate?,NUMBER,longitude,The coordinates for the longitude and longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the longitude coordinates for the long
What is the model year of your car?,NUMBER,year,The model year of my car is 2000.
What is the net profit margin (as a percentage)?,NUMBER,net profit margin,The net profit margin (as a percentage) is a percentage of a company's revenue.
What is the number of defective units produced last month?,NUMBER,defect count,The number of defective units produced last month was 57.
What is the number of defects found?,NUMBER,defect count,0
What is the number of shifts operating per day?,NUMBER,shift count,There are two shifts per day.
What is the number of support tickets resolved today?,NUMBER,support tickets resolved,The number of support tickets resolved today is one.
What is the number of the building?,NUMBER,building number,The number of the building is 50.
What is the number of website visitors per day?,NUMBER,website visitors,The number of visitors per day.
What is the number of welding machines currently in operation?,NUMBER,equipment count,"The number of welding machines currently in operation is about 2,000."
What is the on-time delivery rate in percentage?,NUMBER,delivery rate,On-time delivery rate.
What is the order number?,NUMBER,order number,I think the order number is 1.
What is the percentage of market share?,NUMBER,market share,The percentage of market share is about 1%.
What is the plant's total capacity in square meters?,NUMBER,plant capacity,"The plant's total capacity in square meters is 25,000 square meters."
What is the population of this city?,NUMBER,population,"The population of this city is about 30,000."
What is the power in watts?,NUMBER,power,240 watts.
What is the pressure in pascals?,NUMBER,pressure,"The pressure of a syllable is the same as the pressure of a syllable, but the pressure of a syllable is the same as the pressure of a syllable, and the pressure of a syllable is the same as the pressure of a syllable, and the pressure of a syllable is the same as the pressure of a syllable, and the pressure of a syllable is the same as the pressure of a syllable, and the pressure of a syllable is the same as the pressure of a syllable, and the pressure of a syllable is the same as the pressure of a syllable, and the pressure of a syllable is the same as the pressure of a syllable, and the pressure of a syllable is the same as the pressure of a syllable, and the pressure of a syllable is the same as the pressure of a syllable, and the pressure of a syllable is the same as the pressure of a syllable, and the pressure of a syllable is the same as the pressure of a syllable, and the pressure of a syllable is the same as the pressure of a syllable, and the pressure of a syllable is the same as the pressure of a syllable, and the pressure of a syllable is the same as the pressure of a syllable, and the pressure of a syllable is the same as the pressure of a syllable, and the pressure of a syllable is the same as the pressure of a syllable, and the pressure of a syllable is the same as the pressure of a syllable, and the pressure of a syllable is the same as the pressure of a syllable, and the pressure of a syllable is the same as the pressure of a syllable, and the pressure of a syllable is the same as the pressure of a syllable, and the pressure of a syllable is the same as the pressure of a syllable, and the pressure of a syllable is the same as the pressure of a syllable, and the pressure of a syllable is the same as the pressure of a syllable, and the pressure of a syllable is the same as the pressure of a syllable, and the pressure of a syllable is the same as the pressure of a syllable, and the pressure of a syllable is the same as the pressure of a syllable, and the pressure of a syllable is the same as the pressure of a syllable, and the pressure of a syllable is the same as the pressure of a syllable, and the pressure of a syllable is the same as the pressure of a syllable, and the pressure of a syllable is the same as the pressure of a syllable, and the pressure of a syllable is the same as the pressure of a syllable, and the pressure of a syllable is the same as the pressure of a syllable, and the pressure of a syllable is the same as the pressure of a syllable."
What is the price of this item?,NUMBER,price,The price of this item is a lot more than the price of the item itself.
What is the product ID number?,NUMBER,product ID,0
What is the project budget in dollars?,NUMBER,budget,$1.5 million.
What is the quantity in stock?,NUMBER,quantity,"We have a lot of stock, but we don't have a lot of stock."
What is the quantity of items ordered?,NUMBER,order quantity,I need to order a lot of items.
What is the quantity per unit?,NUMBER,quantity,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
What is the resistance in ohms?,NUMBER,resistance,
What is the return on investment (ROI) percentage?,NUMBER,ROI,A percentage of a company's revenue.
What is the room number for the meeting?,NUMBER,room number,The room number for the meeting is 20.
What is the room number?,NUMBER,room number,The number of people in the room.
What is the sales target for this quarter?,NUMBER,sales target,We have a target of 3 million new customers.
What is the size in gigabytes?,NUMBER,size,I'd like to know how many gigabytes are in a terabyte.
What is the size of the team in number of people?,NUMBER,team size,The team is a team.
What is the speed limit on this highway?,NUMBER,speed limit,The speed limit is 50 mph.
What is the target production volume for next month?,NUMBER,production target,The target production volume for next month is 3 million units.
What is the target reduction in energy consumption by next year?,NUMBER,energy reduction target,The target reduction in energy consumption by the year 2020.
What is the temperature in Celsius?,NUMBER,temperature,The temperature in Fahrenheit.
What is the total amount spent on research and development last year?,NUMBER,R&D expenditure,$70 million.
What is the total area of the factory floor in square feet?,NUMBER,factory floor area,The total area of the factory floor is about 900 square feet.
What is the total budget allocated for maintenance this year?,NUMBER,budget allocation,"The total budget allocated for maintenance this year is $600,000 per year."
What is the total number of active users?,NUMBER,active users,The total number of active users is 3000.
What is the total number of certifications held by the company?,NUMBER,certification count,The number of certifications held by the company is over 5000.
What is the total number of clients?,NUMBER,client count,There are a lot of clients.
What is the total number of employees?,NUMBER,employee count,The total number of employees in the company is 3000.
What is the total number of forklifts used in the warehouse?,NUMBER,equipment count,"The total number of forklifts used in the warehouse is about 3,000."
What is the total number of machines currently undergoing maintenance?,NUMBER,maintenance count,The total number of machines undergoing maintenance.
What is the total number of patents held by the company?,NUMBER,patent count,The total number of patents held by the company is tens of thousands of patents.
What is the total number of quality control checks performed daily?,NUMBER,quality control checks,The total number of quality control checks performed daily.
What is the total number of quality control inspectors?,NUMBER,inspector count,"The total number of quality control inspectors in the United States is about 2,000."
What is the total number of suppliers audited this year?,NUMBER,supplier audit count,The total number of suppliers audited this year is 25.
What is the total number of units produced?,NUMBER,units produced,The number of units produced.
What is the total number of vehicles in the company fleet?,NUMBER,fleet size,"There are about 2,000 vehicles in the company fleet."
What is the total project cost?,NUMBER,project cost,The total cost of the project.
What is the total revenue generated last fiscal year?,NUMBER,revenue,$2.5 billion.
What is the total square footage of the house?,NUMBER,square footage,900 square feet.
What is the voltage in volts?,NUMBER,voltage,The voltage in volts is tens of thousands of volts.
What is the weight in pounds?,NUMBER,weight,I'm not sure.
What is the year the company was founded?,NUMBER,foundation year,1994.
What is the zip code for this address?,NUMBER,zip code,55505.
What is the zip code of the office location?,NUMBER,zip code,76005.
What is your BMI?,NUMBER,BMI,I have a BMI.
What is your account number?,NUMBER,account number,My account number is 212.
What is your age?,NUMBER,age,I'm 26 years old.
What is your annual household income?,NUMBER,income,"I make about $30,000 a year."
What is your blood pressure (systolic reading)?,NUMBER,blood pressure,I'm 63.
What is your credit score?,NUMBER,credit score,I have a score of 0 on my credit report.
What is your current weight?,NUMBER,weight,I'm 185 pounds.
What is your employee ID number?,NUMBER,employee ID,I'm not sure.
What is your employee ID?,NUMBER,employee ID,I am a manager.
What is your estimated net worth?,NUMBER,net worth,I'm not sure.
What is your height in centimeters?,NUMBER,height,
What is your home's square footage?,NUMBER,home size,I live in a home that has a lot of square footage.
What is your house number?,NUMBER,house number,I'm not sure.
What is your order number?,NUMBER,order number,I have a number.
What is your pant size?,NUMBER,pant size,
"What is your preferred contact method (1 for phone, 2 for email)?",NUMBER,contact preference,I prefer phone.
What is your shirt size?,NUMBER,shirt size,I'm a XL.
What is your shoe size?,NUMBER,shoe size,I'm a medium size.
What is your street address number?,NUMBER,street number,I have a street address number.
What is your total yearly spending on groceries?,NUMBER,grocery spending,"I spend a total of about $1,200 a year on groceries."
What is your weight in kilograms?,NUMBER,weight (kg),I weigh a lot of weight in kilograms.
What is your zip code?,NUMBER,zip code,I'm in California.
What year was the company founded?,NUMBER,year,In the early 20th century.
Are you currently using a similar product?,SINGLE-SELECT,Yes; No,
Are you familiar with DevOps practices?,SINGLE-SELECT,Yes; No,Yes.
Are you satisfied with the amount of communication you receive from our team?,SINGLE-SELECT,Yes; No,Yes
Communication frequency,SINGLE-SELECT,Daily; Weekly; Bi-weekly; Monthly,Daily.
Communication style preference,SINGLE-SELECT,Formal; Informal,Formal.
Do you have any accessibility needs that affect communication?,SINGLE-SELECT,Yes; No,Yes.
Do you have any specific requirements for this project?,SINGLE-SELECT,Yes; No,No
Do you prefer synchronous or asynchronous communication?,SINGLE-SELECT,Synchronous; Asynchronous; Both,Asynchronous.
Do you prefer to communicate in writing or verbally?,SINGLE-SELECT,Writing; Verbally; Both equally,Verbally.
How clear is our communication?,SINGLE-SELECT,Very Clear; Clear; Somewhat Clear; Unclear; Very Unclear,Very Clear
How comfortable are you using technology for communication?,SINGLE-SELECT,Very Comfortable; Comfortable; Somewhat Comfortable; Uncomfortable,Very Comfortable
How did you hear about our company?,SINGLE-SELECT,Google Search; Social Media; Referral; Trade Show; Other,Google Search.
How do you handle creative block?,SINGLE-SELECT,Take a break; Seek inspiration from others; Experiment with new techniques; Change my environment; Try a different approach,Try a different approach.
How do you prefer to receive feedback?,SINGLE-SELECT,Email; In-person Meeting; Video Call,Email.
How do you stay current with design trends?,SINGLE-SELECT,Design Blogs; Design Magazines; Social Media; Industry Conferences; Design Workshops,Design Blogs.
How effective is our team at resolving communication issues?,SINGLE-SELECT,Very Effective; Effective; Somewhat Effective; Ineffective,Very Effective
How important is it for you to receive a response to your communications?,SINGLE-SELECT,Very Important; Important; Somewhat Important; Not Important,Not Important
How important is it to you that communication is documented?,SINGLE-SELECT,Very Important; Important; Somewhat Important; Not Important,Not Important
How important is it to you that communication is transparent?,SINGLE-SELECT,Very Important; Important; Somewhat Important; Not Important,Very Important
How important is timely communication to you?,SINGLE-SELECT,Very Important; Important; Somewhat Important; Not Important,Not Important
How many employees does your company have?,SINGLE-SELECT,1-10; 11-50; 51-100; 101-500; 500+,51-100
How many people are typically involved in your team's communications?,SINGLE-SELECT,1-5; 6-10; 11-20; More than 20,More than 20.
How much time do you typically spend communicating with our team each week?,SINGLE-SELECT,Less than 1 hour; 1-3 hours; 3-5 hours; More than 5 hours,More than 5 hours.
How often do you feel your communication is misunderstood?,SINGLE-SELECT,Very Often; Often; Sometimes; Rarely; Never,Often
How often do you need updates?,SINGLE-SELECT,Daily; Weekly; Monthly; As needed,Daily.
How often do you prefer to receive project updates?,SINGLE-SELECT,Daily; Weekly; Bi-weekly; Monthly,Daily.
How responsive is our team to your communication?,SINGLE-SELECT,Very Responsive; Responsive; Somewhat Responsive; Unresponsive; Very Unresponsive,Very Responsive
How satisfied are you with our communication?,SINGLE-SELECT,Very Satisfied; Satisfied; Neutral; Dissatisfied; Very Dissatisfied,Very Satisfied
How satisfied are you with our current service?,SINGLE-SELECT,Very Satisfied; Satisfied; Neutral; Dissatisfied; Very Dissatisfied,Very Satisfied
How would you describe the tone of our communication?,SINGLE-SELECT,Professional; Friendly; Informal; Formal,Friendly
How would you rate the overall effectiveness of our communication?,SINGLE-SELECT,Excellent; Good; Fair; Poor,Good
How would you rate your experience with our customer support?,SINGLE-SELECT,Excellent; Good; Fair; Poor,Good
Is there anything we can improve in our communication?,SINGLE-SELECT,Yes; No,Yes.
Level of communication detail,SINGLE-SELECT,High; Medium; Low,High
Preferred communication method,SINGLE-SELECT,Email; Phone; Video Call; In-person Meeting,Email.
Preferred time for communication,SINGLE-SELECT,Morning; Afternoon; Evening,Evening
Primary language for communication,SINGLE-SELECT,English; Spanish; French; German; Mandarin,English
What are your career goals in the art and design industry?,SINGLE-SELECT,Freelance Artist; In-house Designer; Art Director; Creative Director; Start my own Design Agency,Freelance Artist.
What are your preferred methods for gathering user feedback?,SINGLE-SELECT,User Interviews; Surveys; Usability Testing; A/B Testing; Heatmaps,User Interviews.
What are your primary business goals?,SINGLE-SELECT,Increase Revenue; Reduce Costs; Improve Efficiency; Expand Market Share,Increase Revenue.
What are your top three priorities for this year?,SINGLE-SELECT,Revenue Growth; Cost Reduction; Customer Acquisition; Product Development,Revenue Growth.
What aspect of design are you most passionate about?,SINGLE-SELECT,Visual Communication; User Experience; Branding; Interaction Design; Motion Graphics,Visual Communication.
What cloud platform do you use?,SINGLE-SELECT,AWS; Azure; Google Cloud,I use Google Cloud.
What communication channels do you use most often?,SINGLE-SELECT,Email; Instant Messaging; Project Management Software; Phone calls; Video Conferencing,Email.
What database system are you familiar with?,SINGLE-SELECT,MySQL; PostgreSQL; MongoDB; Oracle; SQL Server,MySQL.
What geographic region are you located in?,SINGLE-SELECT,North America; Europe; Asia; South America; Africa; Australia,North America.
What inspires your artistic creations?,SINGLE-SELECT,Nature; People; Abstract Concepts; Dreams; Current Events,Nature.
What is the purpose of your communication?,SINGLE-SELECT,Feedback; Inquiry; Complaint; Collaboration; Information Sharing,Information Sharing
What is your age range?,SINGLE-SELECT,18-24; 25-34; 35-44; 45-54; 55+,35-44
What is your biggest accomplishment in the art and design industry?,SINGLE-SELECT,Winning a design award; Getting featured in a design publication; Successfully launching a design project; Building a strong portfolio; Establishing a loyal client base,Winning a design award.
What is your biggest challenge in the art and design industry?,SINGLE-SELECT,Competition; Finding Clients; Balancing Creative Vision and Client Needs; Time Management; Pricing your services,Competition.
What is your biggest challenge in your current role?,SINGLE-SELECT,Lack of Resources; Lack of Time; Lack of Support; Other,Lack of Resources.
What is your biggest communication challenge?,SINGLE-SELECT,Lack of clarity; Lack of responsiveness; Misunderstandings; Information overload; Other,Lack of clarity.
What is your biggest design pet peeve?,SINGLE-SELECT,Inconsistent Branding; Poor Typography; Cluttered Designs; Lack of Accessibility; Poor User Experience,Lack of Accessibility.
What is your biggest inspiration for your designs?,SINGLE-SELECT,Nature; Architecture; Music; Literature; Technology,Nature.
What is your budget for this project?,SINGLE-SELECT,"Under $10,000; $10,000 - $50,000; $50,000 - $100,000; Over $100,000","Under $10,000."
What is your company culture?,SINGLE-SELECT,Formal; Informal; Hybrid,Formal
What is your company's annual revenue?,SINGLE-SELECT,Under $1 million; $1 million - $10 million; $10 million - $100 million; Over $100 million,$100 million.
What is your company's main focus?,SINGLE-SELECT,B2B; B2C; Both,B2B.
What is your company's mission?,SINGLE-SELECT,Profit Maximization; Social Impact; Environmental Sustainability; Customer Satisfaction,Profit Maximization.
What is your company's size?,SINGLE-SELECT,1-50 employees; 51-200 employees; 201-1000 employees; Over 1000 employees,201-1000 employees.
What is your current level of digital transformation?,SINGLE-SELECT,Beginner; Intermediate; Advanced,Intermediate.
What is your department?,SINGLE-SELECT,Sales; Marketing; IT; Finance; Other,Other
What is your design philosophy?,SINGLE-SELECT,Form follows function; Less is more; Think outside the box; User-centric design; Innovative and creative,Form follows function.
What is your design process?,SINGLE-SELECT,Agile; Waterfall; Lean; Iterative; Hybrid,Iterative
What is your experience level with software development?,SINGLE-SELECT,Beginner; Intermediate; Advanced; Expert,Intermediate.
What is your experience with Agile methodologies?,SINGLE-SELECT,Beginner; Intermediate; Advanced,Intermediate.
What is your experience with CI/CD pipelines?,SINGLE-SELECT,Beginner; Intermediate; Advanced,Intermediate.
What is your experience with GraphQL APIs?,SINGLE-SELECT,Beginner; Intermediate; Advanced,Intermediate
What is your experience with NoSQL databases?,SINGLE-SELECT,Beginner; Intermediate; Advanced,Intermediate.
What is your experience with RESTful APIs?,SINGLE-SELECT,Beginner; Intermediate; Advanced,Intermediate
What is your experience with artificial intelligence and machine learning?,SINGLE-SELECT,Beginner; Intermediate; Advanced,Intermediate.
What is your experience with big data technologies?,SINGLE-SELECT,Beginner; Intermediate; Advanced,Advanced
What is your experience with blockchain technology?,SINGLE-SELECT,Beginner; Intermediate; Advanced,I'm a beginner.
What is your experience with caching mechanisms?,SINGLE-SELECT,Beginner; Intermediate; Advanced,Intermediate.
