Context,Generated Q&A
"generate question: ['Industry publications', ' News websites', ' Social media', ' Conferences and trade shows', ' Industry analysts'] MULTI-SELECT verbose","Question: What are your industry publications? Answer: Industry publications, conferences and trade shows."
generate question: ['Text'] TEXT colloquial,Question: What are your thoughts on this topic? Answer: I've been thinking about this for a long time. I've been thinking about it for a long time.
"generate question: ['Agile', ' Waterfall', ' Lean', ' Iterative', ' Hybrid'] SINGLE-SELECT annoyed","Question: What are your preferred methodologies for implementing agile processes? Answer: Lean, Agile, and Hybrid."
generate question: ['height'] NUMBER colloquial,Question and answer: What is your height? Provide a number. Answer: I'm tall.
generate question: ['Date'] DATE annoyed,Question: What is your date of birth? Provide a date. Answer: The date of birth is the 1st of October every year. It's the 1st of October every year.
"generate question: ['Constructive Criticism', ' Positive Reinforcement', ' Peer Reviews', ' Client Feedback', ' Public Opinion'] SINGLE-SELECT concise","Question: What types of feedback do you receive from your clients? Answer: Positive Reinforcement, Peer Reviews, Public Opinion."
generate question: ['Date'] DATE annoyed,Question: What is your date of birth? Provide a date. Answer: The date of birth is the 1st of October every year. It's the 1st of October every year.
generate question: ['training budget'] NUMBER explanatory,Question: What is your training budget? Provide a number. Answer: It's a lot.
generate question: ['Date'] DATE explanatory,Question: What is the date of your next meeting? Provide a date. Answer: The date of your next meeting will be announced.
generate question: ['price'] NUMBER verbose,Question: What is the price of the product? Provide a price. Answer: It's a very reasonable price.
generate question: ['Text'] TEXT annoyed,Question: What are your thoughts on this topic? Answer: I'm not sure what to do about it.
"generate question: ['Code reviews', ' Static analysis', ' Unit testing', ' Integration testing', ' Code style guidelines'] MULTI-SELECT annoyed",Question: What are your preferred methods for code reviews? Answer: Code style guidelines are a must.
generate question: ['Date'] DATE explanatory,Question: What is the date of your next meeting? Provide a date. Answer: The date of your next meeting will be announced.
generate question: ['income'] NUMBER annoyed,Question: What is your income? Provide a number. Answer: It's a lot.
"generate question: ['Maintaining team motivation', ' Ensuring consistent performance', ' Providing adequate training and development', ' Managing team conflicts', ' Tracking team progress'] MULTI-SELECT verbose",Question: How do you maintain team motivation? Answer: Providing adequate training and development
"generate question: ['Email', ' Phone calls', ' Video conferencing', ' Instant messaging', ' In-person meetings'] MULTI-SELECT verbose","Question: What are your preferred methods of communication? Answer: Email, video conferencing, in-person meetings."
generate question: ['Date'] DATE colloquial,Question: When was the last time you checked in? Provide a date. Answer: The last time you checked in was the last time you checked in.
generate question: ['Text'] TEXT annoyed,Question: What are your thoughts on this topic? Answer: I'm not sure what to do about it.
"generate question: ['Beginner', ' Intermediate', ' Advanced'] SINGLE-SELECT verbose",Question: What is your level of knowledge? Answer: I'm a beginner.
generate question: ['Date'] DATE colloquial,Question: When was the last time you checked in? Provide a date. Answer: The last time you checked in was the last time you checked in.
"generate question: ['Staying informed about relevant regulations', ' Developing compliance programs', ' Training employees on compliance procedures', ' Conducting regular compliance audits', ' Reporting compliance issues'] MULTI-SELECT annoyed",Question: What are your company's compliance programs? Answer: Training employees on compliance procedures.
generate question: ['ROI'] NUMBER annoyed,Question: What are your thoughts on this? Answer: I'm not sure what to do about it.
"generate question: ['Reading', ' Hiking', ' Photography', ' Music', ' Gaming', ' Sports', ' Travel'] MULTI-SELECT annoyed","Question: What hobbies do you enjoy most? Answer: I enjoy reading, hiking, and traveling."
generate question: ['sales target'] NUMBER colloquial,Question: What is your sales target? Provide a number. Answer: The sales target is a number.
generate question: ['Date'] DATE annoyed,Question: What is your date of birth? Provide a date. Answer: The date of birth is the 1st of October every year. It's the 1st of October every year.
generate question: ['Date'] DATE colloquial,Question: When was the last time you checked in? Provide a date. Answer: The last time you checked in was the last time you checked in.
generate question: ['social media accounts'] NUMBER annoyed,Question: What are your social media accounts? Provide a name. Answer: I don't know.
"generate question: ['Slack', ' Microsoft Teams', ' Email', ' Project management software', ' Instant messaging apps'] MULTI-SELECT explanatory",Question: What project management software do you use? Answer: Microsoft Teams.
generate question: ['Text'] TEXT explanatory,Generate a question and answer
generate question: ['grocery spending'] NUMBER concise,Question: How much do you spend on groceries? Provide a list. Answer: I spend a lot of money on groceries.
generate question: ['Date'] DATE verbose,Question: What is your date of birth? Provide a date. Answer: The date of birth is the 1st of October every year.
"generate question: ['Air pollution', ' Water pollution', ' Waste management', ' Greenhouse gas emissions', ' Noise pollution'] MULTI-SELECT explanatory","Question: What are your main areas of concern? Answer: Air pollution, water pollution, noise pollution."
generate question: ['Date'] DATE explanatory,Question: What is the date of your next meeting? Provide a date. Answer: The date of your next meeting will be announced.
generate question: ['age'] NUMBER colloquial,Question: How old are you? Answer: I'm 57 years old.
"generate question: ['Writing', ' Verbally', ' Both equally'] SINGLE-SELECT verbose",Question: What is your preferred method of communication? Answer: Both verbally and verbatim.
generate question: ['Text'] TEXT concise,Generate a question and answer
"generate question: ['Beginner', ' Intermediate', ' Advanced', ' Expert'] SINGLE-SELECT annoyed",Question: What is your level of experience? Answer: I'm a beginner.
generate question: ['Date'] DATE annoyed,Question: What is your date of birth? Provide a date. Answer: The date of birth is the 1st of October every year. It's the 1st of October every year.
generate question: ['credit card count'] NUMBER annoyed,Question: What is your credit card number? Provide a number. Answer: My credit card number is 123.
generate question: ['Date'] DATE annoyed,Question: What is your date of birth? Provide a date. Answer: The date of birth is the 1st of October every year. It's the 1st of October every year.
"generate question: ['Slack', ' Microsoft Teams', ' Email', ' Jira'] SINGLE-SELECT colloquial",Question: What is your preferred method of communication? Answer: My preferred method of communication is email.
"generate question: ['Unit testing', ' Integration testing', ' System testing', ' User acceptance testing', ' Agile testing', ' Waterfall testing'] MULTI-SELECT annoyed","Question: What types of testing methods do you use? Answer: Integration testing, user acceptance testing, waterfall testing."
generate question: ['weight'] NUMBER annoyed,Question: What is your weight? Provide a weight. Answer: It's a lot.
generate question: ['Text'] TEXT concise,Generate a question and answer
generate question: ['units produced'] NUMBER concise,Question: How many units were produced? Provide a number of units produced. Answer: The number of units produced is the number of units produced.
generate question: ['Text'] TEXT explanatory,Generate a question and answer
"generate question: ['Nature', ' People', ' Abstract Concepts', ' Dreams', ' Current Events'] SINGLE-SELECT explanatory",Question: What are your thoughts on the future? Answer: I've been thinking about it for a long time. I've been thinking about it for a long time.
"generate question: ['Referral programs', ' Social media marketing', ' Content marketing', ' Email marketing', ' Paid advertising'] MULTI-SELECT annoyed","Question: What are your favorite marketing channels? Answer: Social media marketing, email marketing, paid advertising."
generate question: ['Date'] DATE verbose,Question: What is your date of birth? Provide a date. Answer: The date of birth is the 1st of October every year.
generate question: ['Date'] DATE annoyed,Question: What is your date of birth? Provide a date. Answer: The date of birth is the 1st of October every year. It's the 1st of October every year.
"generate question: ['Slack', ' Microsoft Teams', ' Email', ' Jira'] SINGLE-SELECT explanatory",Question: What is your preferred method of communication? Answer: My preferred method of communication is email.
generate question: ['order number'] NUMBER verbose,Question: What is your order number? Provide a number. Answer: It's a number.
generate question: ['Text'] TEXT annoyed,Question: What are your thoughts on this topic? Answer: I'm not sure what to do about it.
"generate question: ['Natural gas', ' Coal', ' Electricity', ' Renewable energy', ' Oil'] MULTI-SELECT explanatory","Question: What types of energy sources do you use? Answer: Natural gas, coal, renewable energy."
generate question: ['Text'] TEXT verbose,Question: What are your thoughts on this topic? Answer: I've been thinking about this for a long time. I've been thinking about it for a long time.
generate question: ['altitude'] NUMBER explanatory,Question: What is the altitude of the aircraft? Answer: The altitude of the aircraft varies depending on the terrain. The altitude of the aircraft varies depending on the terrain. The altitude of the aircraft varies depending on the terrain.
"generate question: ['Relational databases', ' NoSQL databases', ' Graph databases'] MULTI-SELECT colloquial",Question: What types of databases do you use? Answer: Relational databases.
generate question: ['Date'] DATE colloquial,Question: When was the last time you checked in? Provide a date. Answer: The last time you checked in was the last time you checked in.
generate question: ['inductance'] NUMBER colloquial,Question: What is your inductance? Provide a number. Answer: It's a number.
"generate question: ['SAP PM', ' IBM Maximo', ' Oracle EAM', ' Infor EAM', ' Microsoft Dynamics 365'] MULTI-SELECT verbose","Question: What is your preferred solution? Answer: Oracle EAM, Infor EAM."
"generate question: ['Tableau', ' Power BI', ' Qlik Sense', ' Splunk', ' Google Data Studio'] MULTI-SELECT verbose","Question: What tools are you most familiar with? Answer: Power BI, Splunk."
generate question: ['Date'] DATE explanatory,Question: What is the date of your next meeting? Provide a date. Answer: The date of your next meeting will be announced.
generate question: ['Date'] DATE colloquial,Question: When was the last time you checked in? Provide a date. Answer: The last time you checked in was the last time you checked in.
"generate question: ['Very Satisfied', ' Satisfied', ' Neutral', ' Dissatisfied', ' Very Dissatisfied'] SINGLE-SELECT concise",Question: How satisfied are you with the results? Answer: I'm very satisfied with the results.
generate question: ['Date'] DATE verbose,Question: What is your date of birth? Provide a date. Answer: The date of birth is the 1st of October every year.
generate question: ['equipment count'] NUMBER explanatory,Question: What is the equipment count? Provide a number. Answer: The equipment count is based on the number of units in the building. The number of units in the building is based on the number of units in the building.
generate question: ['coffee consumption'] NUMBER colloquial,Question: How many cups of coffee do you drink each day? Answer: It's a lot.
generate question: ['project cost'] NUMBER annoyed,Question: What is the estimated cost of the project? Answer: The estimated cost of the project is estimated to be around $1 million. The estimated cost of the project is estimated to be around $1 million. The estimated cost of the project is estimated to be around $1 million. The estimated cost of the project is estimated to be around $1 million.
generate question: ['age'] NUMBER verbose,Question: How old are you? Provide a date. Answer: I'm 18 years old.
generate question: ['Text'] TEXT colloquial,Question: What are your thoughts on this topic? Answer: I've been thinking about this for a long time. I've been thinking about it for a long time.
"generate question: ['Package managers', ' Dependency injection'] MULTI-SELECT colloquial",Question: What is your experience with dependency injection? Answer: Dependency injection is one of the most common types of dependency injection. Dependency injection is the most common form of dependency injection. Dependency injection is the most common form of dependency injection. Dependency injection is the most common form of dependency injection.
generate question: ['units produced'] NUMBER verbose,Question: What is the number of units produced? Answer: The number of units produced is the number of units produced. The number of units produced is the number of units produced. The number of units produced is the number of units produced.
generate question: ['Text'] TEXT verbose,Question: What are your thoughts on this topic? Answer: I've been thinking about this for a long time. I've been thinking about it for a long time.
generate question: ['Date'] DATE annoyed,Question: What is your date of birth? Provide a date. Answer: The date of birth is the 1st of October every year. It's the 1st of October every year.
generate question: ['Date'] DATE verbose,Question: What is your date of birth? Provide a date. Answer: The date of birth is the 1st of October every year.
generate question: ['training hours'] NUMBER explanatory,Question: How many hours of training did you do? Answer: I did a lot of training.
generate question: ['Date'] DATE verbose,Question: What is your date of birth? Provide a date. Answer: The date of birth is the 1st of October every year.
generate question: ['Date'] DATE verbose,Question: What is your date of birth? Provide a date. Answer: The date of birth is the 1st of October every year.
generate question: ['Text'] TEXT colloquial,Question: What are your thoughts on this topic? Answer: I've been thinking about this for a long time. I've been thinking about it for a long time.
"generate question: ['Excellent', ' Good', ' Fair', ' Poor'] SINGLE-SELECT verbose",Question: What is your overall experience with the program? Answer: It's a lot of fun.
generate question: ['Date'] DATE verbose,Question: What is your date of birth? Provide a date. Answer: The date of birth is the 1st of October every year.
"generate question: ['Very Important', ' Important', ' Somewhat Important', ' Not Important'] SINGLE-SELECT verbose",Question: What is your opinion on the subject? Answer: I think it's important to have a clear understanding of the subject. It's important to have a clear understanding of the subject.
"generate question: ['Technical leadership', ' Specialized expertise', ' Entrepreneurship', ' Continuous learning and growth'] MULTI-SELECT explanatory",Question: What are your company's strengths and weaknesses? Answer: I've always been a strong believer in continuous learning and growth.
generate question: ['account number'] NUMBER concise,Question: What is your account number? Provide a name. Answer: My account number is 123.
"generate question: ['1-5', ' 6-10', ' 11-20', ' 20+'] SINGLE-SELECT annoyed",Question: What is your preferred method for answering this question? Answer: I prefer to answer this question on a regular basis. I prefer to answer this question on a regular basis.
generate question: ['Text'] TEXT colloquial,Question: What are your thoughts on this topic? Answer: I've been thinking about this for a long time. I've been thinking about it for a long time.
generate question: ['Text'] TEXT concise,Generate a question and answer
generate question: ['Date'] DATE concise,Question: When was the last time you checked in? Provide a date. Answer: The last time you checked in was the last time you checked in? Provide a date. Provide a date.
"generate question: ['Microservices', ' Monolithic', ' Layered', ' Event-driven'] MULTI-SELECT colloquial","Question and answer: What is your preferred approach? Answer: Monolithic, Event-driven."
generate question: ['Text'] TEXT colloquial,Question: What are your thoughts on this topic? Answer: I've been thinking about this for a long time. I've been thinking about it for a long time.
generate question: ['Date'] DATE explanatory,Question: What is the date of your next meeting? Provide a date. Answer: The date of your next meeting will be announced.
generate question: ['Date'] DATE colloquial,Question: When was the last time you checked in? Provide a date. Answer: The last time you checked in was the last time you checked in.
generate question: ['Text'] TEXT concise,Generate a question and answer
generate question: ['Date'] DATE concise,Question: When was the last time you checked in? Provide a date. Answer: The last time you checked in was the last time you checked in? Provide a date. Provide a date.
generate question: ['Text'] TEXT annoyed,Question: What are your thoughts on this topic? Answer: I'm not sure what to do about it.
generate question: ['Text'] TEXT colloquial,Question: What are your thoughts on this topic? Answer: I've been thinking about this for a long time. I've been thinking about it for a long time.
"generate question: ['Slack', ' Microsoft Teams', ' Google Chat', ' Discord'] MULTI-SELECT annoyed","Question: What is your preferred method of communication? Answer: Microsoft Teams, Google Chat, Discord."
generate question: ['Text'] TEXT colloquial,Question: What are your thoughts on this topic? Answer: I've been thinking about this for a long time. I've been thinking about it for a long time.
generate question: ['Date'] DATE annoyed,Question: What is your date of birth? Provide a date. Answer: The date of birth is the 1st of October every year. It's the 1st of October every year.
generate question: ['Text'] TEXT colloquial,Question: What are your thoughts on this topic? Answer: I've been thinking about this for a long time. I've been thinking about it for a long time.
generate question: ['Date'] DATE annoyed,Question: What is your date of birth? Provide a date. Answer: The date of birth is the 1st of October every year. It's the 1st of October every year.
"generate question: ['Classroom training', ' Online training', ' On-the-job training', ' Mentorship programs', ' External training courses'] MULTI-SELECT colloquial","Question: What types of training do you use? Answer: Online training, on-the-job training, mentorship programs."
"generate question: ['Git', ' SVN', ' Mercurial'] MULTI-SELECT concise",Generate a question and answer: What tools do you use to manage your data? Answer: SVN.
generate question: ['Date'] DATE verbose,Question: What is your date of birth? Provide a date. Answer: The date of birth is the 1st of October every year.
"generate question: ['Automation', ' Robotics', ' Artificial intelligence (AI)', ' Internet of Things (IoT)', ' Big data analytics'] MULTI-SELECT annoyed","Question: What technologies are you most interested in? Answer: Robotics, AI, Big data analytics."
generate question: ['Date'] DATE verbose,Question: What is your date of birth? Provide a date. Answer: The date of birth is the 1st of October every year.
"generate question: ['Customer surveys', ' Customer interviews', ' Focus groups', ' Online reviews', ' Social media monitoring'] MULTI-SELECT colloquial","Question: What are your preferred methods for conducting customer interviews? Answer: Focus groups, online reviews, social media monitoring."
generate question: ['Date'] DATE annoyed,Question: What is your date of birth? Provide a date. Answer: The date of birth is the 1st of October every year. It's the 1st of October every year.
generate question: ['shoe size'] NUMBER explanatory,Question: What is your shoe size? Provide a number. Answer: It's a shoe size.
generate question: ['Text'] TEXT annoyed,Question: What are your thoughts on this topic? Answer: I'm not sure what to do about it.
generate question: ['Date'] DATE verbose,Question: What is your date of birth? Provide a date. Answer: The date of birth is the 1st of October every year.
"generate question: ['Increase customer retention', ' Improve customer loyalty', ' Generate positive word-of-mouth referrals', ' Reduce customer churn', ' Enhance brand reputation'] MULTI-SELECT annoyed","Question: What are your company's goals for retaining customers? Answer: Increase customer loyalty, reduce churn and increase brand reputation."
generate question: ['Text'] TEXT verbose,Question: What are your thoughts on this topic? Answer: I've been thinking about this for a long time. I've been thinking about it for a long time.
generate question: ['Date'] DATE annoyed,Question: What is your date of birth? Provide a date. Answer: The date of birth is the 1st of October every year. It's the 1st of October every year.
"generate question: ['Unique product features', ' Strong brand reputation', ' Excellent customer service', ' Competitive pricing', ' Strategic partnerships'] MULTI-SELECT colloquial","Question: What are your company's key strengths? Answer: Strong brand reputation, competitive pricing, and strategic partnerships."
generate question: ['Date'] DATE annoyed,Question: What is your date of birth? Provide a date. Answer: The date of birth is the 1st of October every year. It's the 1st of October every year.
generate question: ['Date'] DATE annoyed,Question: What is your date of birth? Provide a date. Answer: The date of birth is the 1st of October every year. It's the 1st of October every year.
generate question: ['work hours'] NUMBER explanatory,Question: How many hours did you work on your project? Answer: I worked on a project for a number of years.
generate question: ['zip code'] NUMBER verbose,Question: What is the zip code of your home? Provide a zip code. Answer: It's the zip code of your home.
generate question: ['vote count'] NUMBER colloquial,Question: What is your vote count? Answer: It's a lot.
"generate question: ['Environmental Protection Agency (EPA)', ' Occupational Safety and Health Administration (OSHA)', ' Department of Transportation (DOT)', ' Local environmental agencies', ' Industry-specific regulatory bodies'] MULTI-SELECT annoyed",Question: What environmental agencies do you work for? Answer: I work for the Environmental Protection Agency (EPA) and the Department of Transportation (DOT)
"generate question: ['Slack', ' Microsoft Teams', ' Email', ' Project management software', ' Instant messaging apps'] MULTI-SELECT concise",Question: What project management software do you use? Answer: Microsoft Teams.
generate question: ['power'] NUMBER colloquial,Question: What is your power supply? Provide a number. Answer: It's a power supply. It's a power supply.
generate question: ['Date'] DATE colloquial,Question: When was the last time you checked in? Provide a date. Answer: The last time you checked in was the last time you checked in.
generate question: ['Text'] TEXT colloquial,Question: What are your thoughts on this topic? Answer: I've been thinking about this for a long time. I've been thinking about it for a long time.
"generate question: ['OWASP Top 10', ' Authentication', ' Authorization', ' Encryption', ' Input validation', ' Output encoding', ' Secure coding practices'] MULTI-SELECT verbose","Question: What are your top 10 security practices? Answer: Authentication, authorization, encoding."
